experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,replicate,library_ID,ERCC,TSO,input_volume
total,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,NA,1,LYS17A,No,TSO-1,NA
total,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,NA,1,LYS17A,No,TSO-2,NA
total,786O,noVHL,HIF1B,EIF4E2,NA,N,3,NA,NA,1,LYS17A,No,TSO-3,NA
total,786O,noVHL,HIF1B,EIF4E2,NA,N,4,NA,NA,1,LYS17A,No,TSO-4,NA
total,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,NA,1,LYS17A,No,TSO-5,NA
total,786O,VHL,HIF1B,EIF4E2,NA,N,2,NA,NA,1,LYS17A,No,TSO-6,NA
total,786O,VHL,HIF1B,EIF4E2,NA,N,3,NA,NA,1,LYS17A,No,TSO-7,NA
total,786O,VHL,HIF1B,EIF4E2,NA,N,4,NA,NA,1,LYS17A,No,TSO-13,NA
total,786O,noVHL,noHIF1B,EIF4E2,NA,N,1,NA,NA,1,LYS17B,No,TSO-1,NA
total,786O,noVHL,noHIF1B,EIF4E2,NA,N,2,NA,NA,1,LYS17B,No,TSO-7,NA
total,786O,noVHL,noHIF1B,EIF4E2,NA,N,3,NA,NA,1,LYS17B,No,TSO-13,NA
total,786O,VHL,noHIF1B,EIF4E2,NA,N,1,NA,NA,1,LYS17B,No,TSO-5,NA
total,786O,VHL,noHIF1B,EIF4E2,NA,N,2,NA,NA,1,LYS17B,No,TSO-3,NA
total,786O,VHL,noHIF1B,EIF4E2,NA,N,3,NA,NA,1,LYS17B,No,TSO-4,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,NA,1,LYS17C,No,TSO-5,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,NA,1,LYS17C,No,TSO-6,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,NA,1,LYS17C,No,TSO-4,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,NA,1,LYS17C,No,TSO-1,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,NA,1,LYS17C,No,TSO-2,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,NA,1,LYS17C,No,TSO-13,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,H,1,NA,NA,1,LYS18C,No,TSO-5,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,H,3,NA,NA,1,LYS18C,No,TSO-3,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,H,4,NA,NA,1,LYS18C,No,TSO-4,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,H,1,NA,NA,1,LYS18C,No,TSO-1,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,H,3,NA,NA,1,LYS18C,No,TSO-7,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,H,4,NA,NA,1,LYS18C,No,TSO-13,NA
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,1,LYS23A,Yes,TSO-1,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,1,LYS23A,Yes,TSO-2,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,1,LYS23A,Yes,TSO-3,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,1,LYS23A,Yes,TSO-4,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,1,LYS23A,Yes,TSO-5,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,1,LYS23A,Yes,TSO-6,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,1,LYS23A,Yes,TSO-7,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,1,LYS23A,Yes,TSO-8,75
