sample_name,experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,library_ID,ERCC,TSO,input_volume
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo0A,LYS23P,Yes,TSO-3,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo0B,LYS23P,Yes,TSO-4,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,LYS23J,Yes,TSO-9,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,LYS23J,Yes,TSO-10,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,LYS23J,Yes,TSO-11,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,LYS23J,Yes,TSO-12,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,LYS23J,Yes,TSO-13,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,LYS23J,Yes,TSO-14,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,LYS23J,Yes,TSO-15,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,LYS23J,Yes,TSO-16,75
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo0A,LYS23P,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo0B,LYS23P,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo1,LYS23K,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo2,LYS23K,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo3,LYS23K,Yes,TSO-6,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo4,LYS23K,Yes,TSO-5,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo5,LYS23K,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo6,LYS23K,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo7,LYS23K,Yes,TSO-2,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo8,LYS23K,Yes,TSO-1,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo0A,LYS23P,Yes,TSO-11,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo0B,LYS23P,Yes,TSO-12,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo1,LYS23L,Yes,TSO-1,150
